,gene
412,PIEZO1
413,PBRM1
414,PARP3
415,AGAP1
416,DMWD
417,MYL7
418,RMDN1
419,RPS24
420,FSCN1
421,EMILIN1
422,FBXO9
423,ARL6IP4
424,RPL35
425,FAM173A
426,SNRNP70
427,SHC2
428,RALY
429,KIF22
430,ANKFY1
431,MACROD1
432,SGSH
433,AGAP6
434,PLD1
435,CD80
436,RPS28
437,FZD1
438,GCSH
439,VPS41
440,SOX4
441,STARD3
442,UBE2D2
443,SEPHS2
444,DNAJA1
445,EEF2
446,DHX35
447,BTF3
448,ANAPC1
449,ITGA6
450,AIMP1
451,CRIPT
452,RHOH
453,PABPC3
454,CERS2
455,TMEM50A
456,HNRNPH1
457,NDUFS2
458,DYNLT1
459,PSME3
460,COX7B
461,CBWD2
462,PTEN
463,SERINC1
464,CCS
465,THOC2
466,PTMA
467,ITFG1
468,BUD13
469,MGST2
470,KLF6
471,SF3B3
472,ALCAM
473,FGR
474,TPK1
475,BCL2L11
476,MTHFR
477,C11orf31
478,OXA1L
479,LSS
480,IDI1
481,TNS2
482,UBXN2A
483,NDUFS1
484,KMT2C
485,RBM42
486,RAB7A
487,NDUFB11
488,RHEB
489,SRM
490,ATP1B3
491,TBC1D9B
492,IFNGR1
493,UBE2A
494,PMPCB
495,NIPBL
496,ARF4
497,CCT7
498,GADD45GIP1
499,MYDGF
500,SPTLC3
501,PPAP2C
502,RPN2
503,RPS18
504,PLEKHG6
505,FRAT2
506,EIF4EBP2
507,CKS1B
508,RUNX1
509,RPL37A
510,CERS6
511,ZNF90
512,WWC1
513,RPL31
514,NEK8
515,CHMP1B
516,PFDN5
517,RRAGC
518,GMFB
519,KIF13A
520,CBX3
521,CITED2
522,ETV6
523,PRKCSH
524,TMSB10
525,CALR
526,GCNT1
527,CMPK1
528,GPATCH2
529,RPS6
530,TAX1BP1
531,BHLHE40
532,SYBU
533,MAN2B2
534,S100A14
535,TNS1
536,PGP
537,SLC39A13
538,CA12
539,IFT52
540,PROM2
541,RPS7
542,LSM4
543,TCEB3
544,FEM1C
545,PVRL2
546,RAP2A
547,TCEAL8
548,PAK2
549,RPL24
550,RNF166
551,ARID4B
552,RAD23B
553,C1R
554,HSPA1B
555,CISD3
556,ST6GALNAC4
557,DPY19L3
558,ENPP5
559,TOMM7
560,ZFAND3
561,CASZ1
562,SHROOM3
563,CCND2
564,RPL32
565,HNRNPR
566,TBCA
567,MAP1LC3A
568,YDJC
569,COA6
570,MOGS
571,MDM4
572,CREB3L1
573,SEPHS1
574,EIF4G3
575,USP33
576,PER3
577,GIT1
578,SERTAD3
579,FLNA
580,TOMM40
581,ING2
582,ZBTB40
583,FGFR1
584,STAM
585,AHNAK
586,DDR1
587,OSBP
588,ATP5E
589,SEC13
590,ZNF532
591,FIS1
592,TP53INP2
593,PSMG3
594,KPNA3
595,SYK
596,CBWD7
597,SNX7
598,PIGT
599,SPOPL
600,CUEDC2
601,SMC1A
602,TOM1
603,DUSP22
604,TOM1L2
605,SPRED2
606,AP5Z1
607,CCDC176
608,VAV3
609,RPN1
610,TUBA1A
611,COX7C
612,CTNNAL1
613,COA3
614,CDC42
615,MRPL12
616,ADI1
617,ACVR1B
618,UBP1
619,RNF11
620,NEBL
621,RARRES3
622,PRKAR2A
623,PSMD1
624,SAFB2
625,ALDH18A1
626,RALGPS1
627,SLC11A2
628,SCAND1
629,HLA-B
630,EIF1
631,GRINA
632,KPNB1
633,HNRNPL
634,BLVRB
635,DAXX
636,PRKAR1B
637,FAM213A
638,CD2BP2
639,HGS
640,SSR1
641,RAE1
642,PRMT1
643,GHITM
644,AQP1
645,COL18A1
646,COL6A1
647,MGST3
648,ADAM28
649,SPC24
650,MAP2K2
651,NPLOC4
652,TIMM10
653,HCCS
654,CLEC7A
655,FANCL
656,TSTD1
657,RAD51
658,SSR4
659,B4GALT5
660,MMP14
661,CLDN4
662,GLUD1
663,TAOK1
664,HMGXB3
665,ZFP36
666,ADGRV1
667,STK38L
668,TRADD
669,ACTR3
670,EIF4G1
671,COMMD7
672,EML4
673,HSPB1
674,PSMB8
675,GNAQ
676,RAB7B
677,XRCC6
678,H2AFZ
679,EEFSEC
680,SPARC
681,WDR37
682,FAM129B
683,COL12A1
684,MPDU1
685,STRADB
686,AC006386.1
687,YWHAB
688,TP53INP1
689,RPL36A
690,NBPF26
691,METTL21A
692,COMMD3
693,WDR74
694,CROCC
695,PTPRS
696,PDPN
697,ARHGEF12
698,BPTF
699,PPCS
700,SLC12A9
701,EPB41L5
702,NDUFB4
703,GIPC1
704,DNAJB2
705,CARS2
706,VOPP1
707,TTC8
708,SS18
709,ZEB1
710,PRCP
711,FAM109A
712,CNIH1
713,TRAPPC12
714,FAM86C1
715,EIF6
716,AKAP1
717,RNF145
718,RPL30
719,CPNE1
720,RBM38
721,PCOLCE
722,CDC42EP5
723,CPNE2
724,EP300
725,RPS3
726,PDCD1LG2
727,FAAP20
728,CRELD1
729,EGR1
730,EIF2S3
731,ATP5C1
732,C4A
733,RPS20
734,IFITM3
735,RETSAT
736,TP53I13
737,KCNS3
738,CNIH4
739,ATP6V0E1
740,HNRNPF
741,PMF1
742,RWDD1
743,RNH1
744,UBB
745,IMPA2
746,HERPUD1
747,WBSCR22
748,LTF
749,TGOLN2
750,MRPL11
751,HES6
752,VPS52
753,PHF20
754,EIF5A
755,MGST1
756,TCP1
757,CPSF6
758,C11orf30
759,OCIAD2
760,RRM2B
761,C1orf216
762,BPIFB1
763,INF2
764,SOGA1
765,PGM3
766,GGCX
767,TMEM87B
768,BBX
769,DAPK3
770,MUL1
771,CDK7
772,NIT2
773,MTDH
774,DSP
775,SON
776,JADE3
777,LFNG
778,CTTN
779,UBE2S
780,OMA1
781,ADGRG1
782,PKP3
783,PSKH1
784,TGIF1
785,SIRT2
786,TATDN1
787,GALNT6
788,C5orf63
789,CLUAP1
790,MRPL45
791,ATP6AP2
792,RPSA
793,RPS19BP1
794,ANXA2
795,GGA2
796,FCHO2
797,KLHL36
798,DCAF6
799,CRIP2
800,PTPRD
801,EDF1
802,NSDHL
803,UBTD2
804,EIF1AX
805,SAMD4B
806,GPR160
807,PTK2
808,P4HB
809,RABAC1
810,ZNF12
811,PAFAH1B2
812,BLMH
813,NCAPH
