,gene
392,Ccsap
393,Hnrnpa2b1
394,Rbfox3
395,Xpr1
396,Kcnd3
397,Mrpl33
398,Ddx19a
399,Rcc2
400,Psmb4
401,Ddx50
402,D5Ertd579e
403,Rnf138
404,Igsf11
405,Emd
406,Stx12
407,Ntan1
408,Gng13
409,Mrpl13
410,Cd274
411,Emc2
412,Cct8
413,Tmem127
414,Phyhd1
415,Tmed7
416,Prkaca
417,Stx6
418,Macrod2
419,Gramd4
420,Rbbp6
421,Aasdhppt
422,Bpgm
423,Ndufb10
424,Lrpap1
425,Banp
426,Ncrna00085
427,Jmjd6
428,Jmy
429,Gng4
430,Clk2
431,Phactr1
432,Eno2
433,Mir703
434,Sh3glb2
435,Grm2
436,Akr1e1
437,Wwp2
438,Selk
439,Rps2
440,Scara3
441,Hspd1
442,Ptov1
443,Trim59
444,Fam101b
445,Ankhd1
446,Mrpl22
447,Api5
448,A230065H16Rik
449,Dgat2
450,Klhdc3
451,Mlf2
452,Rpl31
453,Sucla2
454,Ncapd2
455,Gpr158
456,Rabgap1
457,Bap1
458,Atxn10
459,Cadm2
460,Tsn
461,Zfp654
462,Agap3
463,Sumo3
464,Mtfp1
465,Minpp1
466,Eif3a
467,Romo1
468,Ube2g2
469,Lmna
470,C030023E24Rik
471,Mtpn
472,Ambra1
473,Hbegf
474,Tmem191c
475,Fam5c
476,Uggt1
477,Btbd7
478,Uvrag
479,Yars2
480,4930503E24Rik
481,Cyb5
482,Rpl4
483,Srrm3
484,Bcl10
485,Gm1673
486,Sft2d2
487,Ssbp2
488,Dnm1
489,Tmem200c
490,Cacna1i
491,Ndufc2
492,Tubgcp3
493,Homer1
494,0610009O20Rik
495,Rnf34
496,Nrsn2
497,C330021F23Rik
498,Tsr2
499,Reln
500,Snhg5
501,Ccser2
502,Smyd2
503,Nbl1
504,Srpk2
505,Ppa1
506,Slc35a5
507,Gm6710
508,Osbpl6
509,Ak1
510,Mrpl1
511,Zbtb9
512,Upf2
513,Megf8
514,Hdac5
515,Vmp1
516,Zkscan3
517,Lrrc73
518,Ncald
519,Insig2
520,Arid4b
521,Farsa
522,Hnrnpf
523,Ptp4a2
524,Dnajc30
525,Dusp26
526,Hspbp1
527,Tubg1
528,Ccdc117
529,Ccdc47
530,Ptdss2
531,Mbd1
532,Lca5l
533,Spag7
534,Cyp51
535,Anp32b
536,Fam98b
537,Adam19
538,Spry2
539,Ccdc58
540,Vipas39
541,Dnm3
542,Cd36
543,Hpca
544,Dhx30
545,Gkap1
546,Cdv3
547,Golgb1
548,Srsf2
549,Cspg5
550,Atf2
551,Psmb2
552,Pafah1b1
553,Rad21
554,A730098P11Rik
555,Acadm
556,Ftsjd1
557,Dync2h1
558,Wdfy1
559,Mapk8ip1
560,Ssr1
561,Dak
562,Ogdh
563,St7l
564,Stam2
565,Cryab
566,Zfyve28
567,Dtna
568,Srprb
569,Fam126a
570,Lrig2
571,Psat1
572,Tbc1d8
573,Zdhhc14
574,Nkrf
575,Tuba8
576,Noa1
577,Tnfrsf21
578,Gbp7
579,Ltn1
580,Med28
581,Kpna6
582,Epb4.1l4a
583,Stip1
584,Abcb10
585,Chadl
586,Brsk2
587,Polr2g
588,Lrp12
589,Nrcam
590,Gnb5
591,Elovl5
592,Slc30a9
593,Dzip1
594,Snapc2
595,Lin7b
596,Itm2a
597,Cbr3
598,Whsc1
599,Map4
600,2610507B11Rik
601,Ier5
602,Snx18
603,Arpc2
604,Pcdhb11
605,Eif4g1
606,Ago2
607,Parp6
608,Il17d
609,Camk4
610,B4galnt1
611,Larp6
612,Taf1
613,Ddost
614,Hsp90ab1
615,Ddx5
616,Ndufv3
617,Casp2
618,Prmt1
619,Kcnv1
620,Sec61g
621,Bmyc
622,Prdx3
623,Gid4
624,Rrp9
625,Zfand3
626,Bcan
627,Supt6
628,Wbp11
629,Ppil4
630,Cnp
631,Chd6
632,Uqcrc1
633,Zfp644
634,Baalc
635,Fam107b
636,Slc39a7
637,Pabpn1
638,Atl2
639,Lrrc7
640,Cgrrf1
641,St8sia5
642,Evi5
643,Pcyt1b
644,Tfcp2l1
645,Otud7b
646,Lsm4
647,Psmd10
648,Tbrg4
649,Ptpn23
650,Bcl2l12
651,Jmjd8
652,Ptpmt1
653,Dnajc28
654,Rpf2
655,Ret
656,Gtf2f1
657,Gdi1
658,Mycbp
659,Eid2
660,Apoo
661,Cdc5l
662,Wdr35
663,Skp1a
664,Sfxn5
665,Aggf1
666,Rab10
667,Polr1d
668,Lpgat1
669,Ipcef1
670,Rab3gap2
671,Cyhr1
672,Lrp10
673,Penk
674,Cacna1a
675,Atxn2l
676,Lemd3
677,Osbpl9
678,Mgat1
679,Ankrd34a
680,Lnp
681,Zfp287
682,Tmtc4
683,Gspt1
684,Tspan17
685,Mrpl42
686,Flna
687,Sfpq
688,Grcc10
689,Tmbim4
690,Wdr13
691,Tceb2
692,Gart
693,Akap12
694,Riok3
695,Atp11c
696,Acap2
697,Kat6b
698,Impact
699,Atp6v1c1
700,Bend6
701,Rsl1d1
702,Timm44
703,Rspo3
704,Pskh1
705,Timm10
706,Frzb
707,Rapgefl1
708,Cxcl14
709,Synj2bp
710,Srgap2
711,Ccdc30
712,Cep97
713,Tnpo3
714,B3gat2
715,2900097C17Rik
716,Ccnl2
717,Gabpa
718,Hspa5
719,Svip
720,Itm2c
721,Cic
722,Dnajc8
723,Atxn2
724,Susd3
725,Luc7l2
726,Pi4ka
727,Exoc7
728,Rnf11
729,Lrba
730,Eef1a2
731,Trim9
732,Asic1
733,Strn3
734,Zfp804a
735,Cited2
736,6330403K07Rik
737,Cbln4
738,Nt5m
739,Mpped2
740,Map1a
741,Ap3d1
742,Klhl9
743,Lace1
744,Trpc3
745,Eef2
746,Chn1
747,Tmem40
748,Mll5
749,Zfp354c
750,Hapln1
751,Vegfa
752,2410006H16Rik
753,Snx12
754,E330013P04Rik
755,Ptbp2
756,Bckdhb
757,C1qbp
758,Tmem33
759,Nfasc
760,Ints1
761,Arntl
762,AI593442
763,Ciapin1
764,Pithd1
765,Mtor
766,Tmem97
767,Chchd7
768,Efnb3
769,Bloc1s1
770,Pcna
771,Cflar
772,Fam120a
773,Ndufa12
774,Zcchc2
775,Ndufa8
776,Mcts1
777,Bicd2
778,Bcl11b
779,Aspn
780,Slc24a2
781,Cul9
782,Qdpr
783,Itga3
784,Kcnh3
785,Naa60
786,Prps1l3
787,4921524J17Rik
788,Tmem151a
789,Scrg1
790,Rapgef1
791,Tspan3
792,Nrbp1
793,Spop
794,Cers2
795,Tspyl4
796,Calu
797,Lyrm2
798,Kcna2
799,Slmap
800,Luzp2
801,Smg5
802,Sod2
803,Acads
804,Slc35b1
805,Iqcb1
806,Smarcd3
807,Pcdhb19
808,Etv6
809,Mmadhc
810,Hist1h2ag
811,Phldb1
812,Ip6k2
813,Sema6d
814,Dynlt3
815,Arxes2
816,Actn4
817,Mtrf1
818,Klhl12
819,Ywhaz
820,Mycl1
821,Ywhae
822,Tmem178
823,BC018507
824,Mapk14
825,Golga4
826,Zfml
827,Mlh3
828,Prkaa2
829,Cltc
830,1500009C09Rik
831,D430019H16Rik
832,Cdkn2aipnl
833,Hmgcr
834,Fam49a
835,Ubr3
836,Ifit3
837,Kcnh2
838,Jak1
839,Camsap1
840,Npy1r
841,Rpe
842,Dcdc2a
843,Cmpk1
844,Atp5e
845,Ppp1r15b
846,Gtf2b
847,Abr
848,Scgb1c1
849,Zmym3
850,Zfp330
851,Zbtb41
852,Pnpla2
853,Wrnip1
854,Zfand5
855,Ing4
856,Car7
857,Gpx4
858,Gtf3c2
859,Ep300
860,Ndnf
861,Fnbp1l
862,Rybp
863,Mgea5
864,Comt
865,Fmnl1
866,Scn3a
867,Rfk
868,Myof
869,Fam216a
870,Dpp10
871,Eif2ak4
872,Erc2
873,Rps18
874,B4galt4
875,Ranbp6
876,Kif13a
877,Zfp14
878,Gstm5
879,Micu1
880,Serp2
881,Cox10
882,Abi2
883,Rufy1
884,Mecp2
885,Sf3b3
886,Det1
887,Pcbd1
888,Unc5d
889,Nudt4
890,Asphd2
891,Ndst2
892,Ccni
893,Dab1
894,Tomm5
895,Ccdc101
896,Kif21b
897,Sgcb
898,Cacna2d1
899,Hid1
900,Map1lc3b
901,Col4a6
902,Fbxw7
903,Slc38a1
904,Snapin
905,1110004E09Rik
906,Nono
907,Ier3ip1
908,Pcbp2
909,Cmip
910,Nudc
911,Spcs1
912,Rrbp1
913,1810055G02Rik
914,Asxl1
915,Mknk1
916,H13
917,Mta1
918,Tnks1bp1
919,Fam78b
920,Phax
921,Fabp7
922,Smpd1
923,Hadhb
924,Anapc7
925,Mkks
926,Bms1
927,Epha1
928,AI413582
929,Bace1
930,Sart1
931,Ablim1
932,Kcnk13
933,Wsb1
934,Slc25a46
935,Tcn2
936,Sema6a
937,Ube4b
938,Son
939,Lrrc61
940,Fam210a
941,Arhgef12
942,Btbd10
943,Slc25a26
944,Ipmk
945,Dvl2
946,Stk30
947,Sdhc
948,Tomm40l
949,Ubac2
950,Ptpn6
951,Dohh
952,Zmat5
953,Champ1
954,Naa30
955,Ranbp1
956,Isca1
957,Ivns1abp
958,Pcmtd2
959,Tmx2
960,Ank3
961,Col4a1
962,Exoc3
963,Gpt2
964,Eri3
965,Camk2b
966,Smc1a
967,Wif1
968,Mbtps1
969,Rpa1
970,Tubb2a
971,3110043O21Rik
972,Zcchc18
973,Ube2w
974,Flot2
975,Ramp2
976,Bcr
977,Vapb
978,Zfp598
979,Srsf11
980,Hagh
981,Ilf3
982,Tpt1
983,Vcp
984,Siae
985,Nalcn
986,Ola1
987,Efhd2
988,Cntnap2
989,Mob4
990,Usp46
991,Capns1
992,Gm2382
993,Smad7
994,2900052N01Rik
995,Nefh
996,Fbxo34
997,Babam1
998,Map2k1
999,Zfp207
1000,Slc7a5
1001,2810029C07Rik
1002,Ehd1
1003,Arfgef1
1004,4833420G17Rik
1005,Ghitm
1006,Rnf20
1007,Crlf3
1008,Adra2a
1009,Snrpc
1010,Akap8
1011,Apba1
1012,Canx
1013,Fus
1014,Inpp1
1015,Rpl36
1016,Dld
1017,Pls3
1018,Baiap2
1019,Eif2s3x
1020,Ppp1r11
1021,Ddx31
1022,Zc3h10
1023,Hook3
1024,Chic1
1025,Sept3
1026,Fam63b
1027,Tmem132b
1028,Mapk1
1029,Prrc2c
1030,Sptbn1
1031,Gsn
1032,Stmn1
1033,Ndufb3
1034,Agpat1
1035,1200014J11Rik
1036,Ciao1
1037,Reep3
1038,Stk32c
1039,Taldo1
1040,Nfia
1041,Trio
1042,Pias2
1043,Samd14
