,gene
0,Plekha1
1,Cnih3
2,Gpc5
3,Sirt3
4,Rab8a
5,Nadk
6,Tiparp
7,Fbxo28
8,Rgl1
9,Ctsb
10,Tank
11,Rnf216
12,Vps13b
13,Rapgef1
14,Rgma
15,Gnptab
16,Cuedc1
17,Sqstm1
18,Ssna1
19,Aamdc
20,Arhgef2
21,Sptlc2
22,Mrps18a
23,Cend1
24,Ak5
25,Rab11fip4
26,Tgfbrap1
27,Trf
28,Atp6v1e1
29,Qsox2
30,Shisa3
31,Tnfsf12
32,Scg2
33,Arid1b
34,Pfkm
35,Actb
36,Pcdhb7
37,Nup188
38,B430212C06Rik
39,Rrm1
40,Dip2b
41,Atg12
42,Ccpg1
43,Shfm1
44,Slc25a23
45,Cc2d2a
46,Mff
47,Cog5
48,Ddx26b
49,Rpp21
50,Snx13
51,Aco2
52,Ndufs3
53,Stim1
54,Pcyox1
55,1500015O10Rik
56,Atp5d
57,Armcx2
58,Dcaf17
59,Hnrnph2
60,H3f3a
61,Gtf3c1
62,Mpc2
63,Wdr8
64,Psmb4
65,Dbnl
66,Ptpra
67,Porcn
68,B3gnt1
69,Pgap1
70,Anp32a
71,Jhdm1d
72,Phf10
73,Ttc14
74,Grk5
75,Dnaja3
76,Ei24
77,Fam76b
78,Rps19bp1
79,Htr1f
80,Rundc1
81,Cltb
82,Eif4ebp2
83,Spock3
84,Phf3
85,Nap1l4
86,Eif5a
87,Eps15l1
88,Ppfia2
89,Spg11
90,Hadhb
91,D930016D06Rik
92,Fkbp15
93,Alg2
94,BC005764
95,Tet2
96,Gle1
97,Slc9a3r2
98,Rnf25
99,Mmadhc
100,Cux1
101,Lgals3bp
102,Prkce
103,Vopp1
104,Srp72
105,Zfhx3
106,Vamp2
107,Dek
108,Lyrm1
109,Ociad2
110,Mlst8
111,Cxx1a
112,Gpr155
113,BC003331
114,Cisd1
115,Txlna
116,Gcsh
117,Atp6ap1l
118,Ier5
119,Khsrp
120,Impdh2
121,Ipo9
122,Gm1673
123,Sparc
124,Dlg4
125,Pygo1
126,Asns
127,Cacna1i
128,Sh3gl2
129,Exoc1
130,Git1
131,Ptcd2
132,Bag1
133,Ier5l
134,Wtap
135,Atp6v1f
136,Ireb2
137,Ccnl1
138,Cox7a2
139,Exosc8
140,Ankib1
141,Anapc16
142,Huwe1
143,Amotl2
144,Cul4a
145,Numa1
146,Cxadr
147,Stard10
148,Ubac1
149,Dcun1d3
150,Suclg1
151,Zfp410
152,Cse1l
153,Cct6a
154,Nfs1
155,Kctd5
156,Elavl2
157,Dlgap4
158,Kcnc1
159,Cpsf3
160,Tmx3
161,Lrrc59
162,Atat1
163,2700089E24Rik
164,Ppp1r10
165,Pam
166,Mocs2
167,Ccdc71l
168,Atad3a
169,2510002D24Rik
170,Cbfa2t2
171,Arfgef2
172,Pim2
173,Ccrn4l
174,Psap
175,Plekhm3
176,Sarnp
177,Mlh3
178,Golga1
179,Caml
180,Gja1
181,Mettl16
182,Timp2
183,Ccdc107
184,Ugcg
185,Ddit3
186,Tanc2
187,Unc50
188,Sdc2
189,Slc1a3
190,Klhdc8a
191,Tollip
192,Pacs1
193,Nfe2l1
194,Ccni
195,Rnf19a
196,Btrc
197,Tmsb10
198,Ago1
199,Ldhb
200,Ccdc85b
201,Ptk2b
202,Dpm3
203,Rdx
204,Atp5a1
205,Pkia
206,Ppp6r1
207,Tnik
208,Zfp810
209,Tspan2
210,0610010F05Rik
211,Per3
212,1110051M20Rik
213,Il10ra
214,Rasl10b
215,Chmp1a
216,Prss8
217,Ermn
218,Trp53bp2
219,Ncaph2
220,Dgkd
221,Mrpl17
222,Lemd2
223,Slc6a11
224,Zmat4
225,Mycbp2
226,Rap2c
227,Sbno1
228,Nkiras1
229,Nktr
230,Emc2
231,Sms
232,Seh1l
233,Ccdc157
234,Csf2ra
235,Ppm1j
236,Zfp944
237,Ptplad1
238,Papss2
239,Tgs1
240,Gnl2
241,Scd1
242,Setd1a
243,Stat1
244,Atp5l
245,Fzd3
246,Mef2d
247,Phka1
248,Tbccd1
249,Rps18
250,Whsc1
251,Gnai2
252,C1qbp
253,Pvrl1
254,Nsmaf
255,Aftph
256,Bax
257,Sfmbt2
258,Phax
259,Gm10409
260,Mgll
261,Tbc1d20
262,Fbxw7
263,Cdk14
264,8430410A17Rik
265,Syngr1
266,Pla2g12a
267,4930503E24Rik
268,Parp6
269,Sf3a1
270,Znf512b
271,Xpo1
272,Insig1
273,Ubtf
274,Larp1
275,Gdpd5
276,Nacc2
277,Bop1
278,Os9
279,8430419L09Rik
280,Tgoln1
281,Gm5779
282,Bbs4
283,Ifi27l2a
284,Zcchc24
285,2900060B14Rik
286,Cwc15
287,Cttnbp2
288,Klhdc10
289,Papd7
290,Npy1r
291,Dbt
292,Ppp1r3c
293,Gnb2
294,1810030O07Rik
295,Rps15a-ps6
296,Stx16
297,Clu
298,Bean1
299,Bzw1
300,Faf2
301,Ankrd10
302,Ermp1
303,Tmem86a
304,Col11a2
305,Intu
306,Rnft2
307,Smarcc2
308,Cmpk1
309,Cops2
310,Efhd2
311,Pptc7
312,Usp15
313,Ddx1
314,Krtcap2
315,Dgcr14
316,Ccdc97
317,Fgf13
318,Napa
319,Taok2
320,Stom
321,Igsf3
322,Pgm2
323,Kif3c
324,Dixdc1
325,Tmem14c
326,Zfp706
327,Ptk2
328,Map3k2
329,Pcdh1
330,Mtch2
331,Ppp2r2c
332,Gstp1
333,Atp5f1
334,Eif4a3
335,Fkbp2
336,Mpp3
337,Lrrc51
338,Stoml2
339,Etfa
340,Fads1
341,Lurap1l
342,Rprd1a
343,Chd9
344,Atp6v1g1
345,Setd7
346,Pnrc2
347,Nhlrc1
348,Mgat3
349,Ppip5k2
350,Serinc5
351,Zfp385b
352,Tll1
353,Rrn3
354,Coa5
355,Hgs
356,Gtpbp1
357,Arfrp1
358,Csnk1g3
359,Swi5
360,Eci2
361,Serpini1
362,Usp35
363,Glyr1
364,Dpf2
365,Csrp1
366,Ccnt1
367,Crtc2
368,Appl1
369,Mdm2
370,Etv5
371,Rap1a
372,Smim12
373,Cdc16
374,Triobp
375,Med27
376,Tomm5
377,Ints2
378,Gstm1
379,Spen
380,Arf3
381,Ywhah
382,Grrp1
383,Trhde
384,Sesn1
385,Trim68
386,Abi2
387,Bex1
388,Ttc27
389,Csmd1
390,Cenpt
391,Zfp592
392,Tns1
393,Abcf3
394,Il17ra
395,E530011L22Rik
396,1700001O22Rik
397,Matk
398,Gabra3
399,Npy
400,Srf
401,Smc5
402,Mtfr1l
403,2610017I09Rik
404,Elp5
405,Coa3
406,Nosip
407,Clpp
408,Prpsap1
409,Mrps35
410,Etl4
411,Fam57b
412,Bsn
413,Phf5a
414,Bbip1
415,C230091D08Rik
416,Kat2b
417,Tm9sf2
418,Rrp7a
419,Ndrg2
420,Nol4
421,Txnl4a
422,Rab11fip3
423,Acadl
424,Mapk6
425,Ipo11
426,Ctbp2
427,Ppm1b
428,Pitpnm1
429,Ccz1
430,Chn2
431,Dnm1l
432,Slc6a8
433,Ercc6
434,Tubb4a
435,Dennd3
436,Mfhas1
437,Stard8
438,Neto2
439,Ranbp6
440,Ptdss1
441,Rps10
442,Creld1
443,Apoo
444,Pcdh19
445,Bach1
446,Ajap1
447,Rpp25l
448,Fus
449,Api5
450,Slc35e4
451,Rnf4
452,Vldlr
453,Synpr
454,G3bp1
455,Dennd2a
456,Fau
457,Fbxo6
458,Nck1
459,Zfyve27
460,Slc23a2
461,2610306M01Rik
462,Supt5
463,Phldb1
464,Mapre3
465,Dnajc8
466,Ptms
467,Neurl4
468,Sept3
469,Ddx3y
470,Psma3
471,March6
472,Selplg
473,BC018507
474,Pdcd4
475,Taf13
476,Tagap1
477,Dnalc4
478,Tmem65
479,Cst3
480,Nop56
481,Ppwd1
482,Zfp30
483,Pclo
484,Slc38a7
485,Chid1
486,Map9
487,Sncb
488,Trappc4
489,Fer1l5
490,Lcmt1
491,Setx
492,Cdc73
493,Rbmx2
494,Rapgef4
495,Raly
496,Eif2b4
497,Ssb
498,9430020K01Rik
499,Dpagt1
500,9830001H06Rik
501,Syngr3
502,Smg5
503,Ppat
504,Zdhhc20
505,Luzp1
506,A930011O12Rik
507,Abhd4
508,Pdia4
509,Lamc3
510,Mpi
511,Mllt4
512,Slc25a12
513,Mapk1ip1l
514,Cab39l
515,Cct8
516,Zfp462
