,gene
517,Stt3b
518,Efnb3
519,Itga8
520,Dnm1
521,Zfp955a
522,Ndnl2
523,Mtmr12
524,Sp2
525,Oxct1
526,Pak7
527,Pms2
528,Tpd52l2
529,Rad1
530,Mageh1
531,Hagh
532,Pcdh20
533,Ppargc1a
534,Rbm45
535,Fkbp4
536,Tchh
537,Rgs2
538,Napg
539,Wapal
540,Patl1
541,Rreb1
542,Gprasp1
543,Stmn3
544,Bcor
545,Cacnb4
546,E130308A19Rik
547,9530082P21Rik
548,Eno2
549,Sumo3
550,Acp1
551,Klhl2
552,Fis1
553,Nup205
554,Klhdc3
555,Itih3
556,Sptbn2
557,Mbnl1
558,Rps6kc1
559,Slc7a10
560,Lims2
561,Chd1
562,Nsmf
563,Zfc3h1
564,Asb7
565,Meg3
566,Dscr3
567,Necap1
568,Tnrc6b
569,Rbm25
570,Mms19
571,Rraga
572,Far1
573,Mak16
574,Rbms3
575,Rbm3
576,Yy1
577,Eef1d
578,Map3k11
579,Mtss1
580,Osbpl9
581,Trmt1l
582,Fundc2
583,Brd3
584,Uqcr10
585,Dbx2
586,Rab3a
587,Tmem50a
588,Hmg20a
589,Sbf2
590,Kif5b
591,Ttyh1
592,Trpc4ap
593,Trim8
594,1110004F10Rik
595,Grpel2
596,Clvs2
597,Fbxl16
598,Gpbp1
599,Sppl2a
600,Armc1
601,Ggact
602,Rpl19
603,2810428I15Rik
604,Rnf112
605,Zyg11b
606,Ctsz
607,Gda
608,2900011O08Rik
609,Klhl40
610,Bbs2
611,Dync1i2
612,Fam179b
613,Kirrel3
614,AI597468
615,Timm9
616,Nlrc5
617,Aspa
618,Tmub2
619,Mcf2l
620,Vbp1
621,Rai1
622,Hepacam
623,Fam81a
624,Ppp2r2a
625,Tbca
626,Ap2m1
627,Tmx1
628,Cnnm1
629,Adhfe1
630,Clpx
631,Ythdc1
632,Nudt13
633,BC029722
634,Rps3
635,Tex9
636,Bri3bp
637,Mlxip
638,Yif1b
639,Morf4l1
640,Sema6b
641,Rnf6
642,Polr3e
643,Nras
644,Msl1
645,Utp11l
646,Zfp513
647,Atp8a1
648,Hdhd2
649,Zbtb20
650,Gdpd1
651,Ralyl
652,Tenm3
653,Mll2
654,Timm10b
655,Hectd1
656,Rnf14
657,Hmgn1
658,Pnp
659,Calr
660,Zfp93
661,Tusc1
662,Ppp1cc
663,Spsb4
664,Epas1
665,Wdr26
666,Drg1
667,Taz
668,Drp2
669,Rpn2
670,Cldn12
671,Slc7a4
672,Cfh
673,Tmc7
674,Rps6
675,Nploc4
676,Zeb1
677,Nnt
678,Robo2
679,Prdx3
680,Pagr1a
681,Prkag2
682,Rhbdf1
683,Sema4b
684,Csdc2
685,Lgalsl
686,Mtrf1l
687,Lrp1b
688,Rab4b
689,Heyl
690,Msi2
691,Eef1e1
692,Cnbp
693,Cryzl1
694,Cab39
695,3110043O21Rik
696,Srp54a
697,Maz
698,Wdr11
699,Galnt10
700,Gpr124
701,Ube2i
702,Znhit6
703,Hdgfrp2
704,Gng10
705,Snf8
706,Fam47e
707,Letmd1
708,Mgst1
709,Nptx1
710,Wdfy1
711,Zdhhc2
712,Clspn
713,Man2c1
714,Zdhhc13
715,Mtx2
716,Cep152
717,Pcgf5
718,Exosc3
719,Maml1
720,Rpl6
721,1110032A03Rik
722,Lrrc38
723,Uqcrfs1
724,Pgm2l1
725,Taf8
726,Tjap1
727,L3mbtl1
728,Tmem55a
729,Apoe
730,Agpat5
731,Tbc1d25
732,Ctdspl2
733,Csde1
734,Calm1
735,Mllt11
736,Acbd3
737,Btbd3
738,Ssbp3
739,Akr1e1
740,Eif3f
741,Nr2f6
742,Ogt
743,Efhd1
744,Sult1a1
745,Srsf2
746,Hmgcs2
747,Birc6
748,Bet1l
749,Lgr4
750,Cops7a
751,Uchl1
752,Kif21b
753,Necab3
754,Pcdhga8
755,Macf1
756,Cadm1
757,2810408M09Rik
758,Lpin2
759,Prkar1b
760,Brix1
761,Psd
762,Naca
763,Arntl2
764,4933427D14Rik
765,Sptb
766,Ell2
767,Irf2bp2
768,Uqcrc2
769,Arid4a
770,Eef1a1
771,Entpd4
772,Rps28
773,Frmd4a
774,Topors
775,Sidt2
776,Pbx2
777,Rmnd5a
778,Dmwd
779,Tspyl5
780,Herc2
781,Atcay
782,Abl2
783,Celsr2
784,Hdac5
785,Ap3m1
786,Phyhipl
787,Nalcn
788,B4galt4
789,Fbxl5
790,Rnf34
791,Mib2
792,Cacng5
793,Hif1a
794,Ewsr1
795,Aqp4
796,S100b
797,Tspan5
798,Yipf4
799,Beta-s
800,Kansl1
801,Grip2
802,l7Rn6
803,Rcc2
804,Kctd6
805,Gpn1
806,Manbal
807,Kctd13
808,Brsk1
809,Gm5148
810,Mgat2
811,Mif4gd
812,Acad9
813,Mrps5
814,Scg3
815,Wbp4
816,Arl8b
817,Gpr37
818,Ift46
819,Cbln2
820,Zfp598
821,Dip2a
822,Kcnj16
823,Tor1aip2
824,Slc25a22
825,Cog6
826,Nagk
827,Rsbn1
828,Cnot4
829,Ndufa13
830,Rc3h2
831,Sfmbt1
832,Snx14
833,Ndufs2
834,Gm13498
835,Ppp1r21
836,Wnt5a
837,Adcy6
838,Phyh
839,Uck1
840,Nsg2
841,Atp5e
842,Wipf2
843,Btd
844,H3f3b
845,Tmem169
846,Patz1
847,Dand5
848,Ccnyl1
849,Psmb5
850,Spon1
851,Crkl
852,Elmod2
853,Snrnp27
854,Cables2
855,Dnaja2
856,Slc4a3
857,Baiap2
858,Eif4ebp3
859,Plcl2
860,Phf2
861,Myt1
862,Cfp
863,Rpl31
864,Cygb
865,Rpl29
866,Marcksl1
867,Poldip2
868,Xpo6
869,Snip1
870,Tet3
871,Ylpm1
872,Atrx
873,Vstm4
874,Prkcb
875,Mfsd8
876,Mkrn3
877,Chrm2
878,Hspa2
879,Sec61g
880,Sepw1
881,Dpp3
882,Serbp1
883,Vamp3
884,Synj2bp
885,Rbm8a
886,Sall2
887,Ppig
888,Strbp
889,1700008F21Rik
890,Tuba1a
891,Vps4b
892,Zcrb1
893,Ryr2
894,Gnas
895,Lrpap1
896,Slmap
897,Reln
898,Vps29
899,Dlx6as1
900,Lancl2
901,Hspe1
902,Ppdpf
903,Rfk
904,Mob2
905,Pepd
906,Cacna1h
907,Epb4.1l1
908,Bcas1
909,Trps1
910,Mirg
911,Gpbp1l1
912,Cops5
913,Zyx
914,Dcaf7
915,Phip
916,Aatk
917,Mtor
918,Mcm5
919,Ddx5
920,Cep89
921,Tmem164
922,Rnaset2b
923,Bcat1
924,Fgf14
925,Rpl11
926,Slc25a3
927,Trnp1
928,Rcn2
929,Srsf5
930,Map3k5
931,Dtna
932,Gnat2
933,Dcun1d2
934,Scp2
935,Reep3
936,Lsm12
937,Dnajc16
938,Trex1
939,Kars
940,Grik3
941,Cpsf4
942,Sec16a
943,Rhbdl1
944,Lrrc58
945,Metap2
946,2610203C20Rik
947,Arhgef7
948,Ppp1r11
949,Mplkip
950,Tulp3
951,5730409E04Rik
952,Mtus2
953,B3galt5
954,Tmem206
955,Wscd1
956,Cnp
957,Mapk14
958,BC002163
959,Arfgef1
960,Ubc
961,Rragd
962,Rp9
963,Mrps11
964,Asic2
965,Capns1
966,Rab34
967,Ipo8
968,Lrrc14
969,Rps20
970,Trib2
971,Strap
972,Morc2a
973,Ier3ip1
974,Rapgefl1
975,Safb2
976,Tmem87b
977,Sars
978,Slc22a8
979,Cenpc1
980,Rdh14
981,Slc1a2
982,Grm5
983,Xrn2
984,Nfe2l2
985,Cmtm5
986,Hmgn3
987,Hdgf
988,Pdzd4
989,Cmas
990,Clptm1
991,Grsf1
992,Ldha
993,Fbxo21
994,Arf4
995,Itgbl1
996,Csnk2b
997,Dazap2
998,Dkk3
999,Atp2a2
1000,Pa2g4
1001,Mn1
1002,Prkag1
1003,Ccdc127
1004,Klc2
1005,Nubp2
1006,Tro
1007,Mrpl16
1008,Ski
1009,Zfp846
1010,Cul3
1011,Rap2b
1012,Fgfr1
1013,Necap2
1014,Emc3
1015,Cherp
1016,Ulk2
1017,Chic2
1018,Cdkn1a
1019,Zmym5
1020,Sorbs2
1021,Tnrc18
1022,2500004C02Rik
1023,Mapk9
1024,Prrc2c
1025,Psme3
1026,Kcnh5
1027,Kcnq1ot1
1028,Dctn2
1029,Mrpl55
1030,Rps19
1031,Wdr1
1032,Samd1
1033,Sh3kbp1
1034,Bccip
1035,Lsm2
1036,Syt1
1037,Morc3
1038,Cry1
1039,Cdc42bpa
1040,Gin1
1041,Spef1
1042,Rpl32
1043,Tpm4
1044,Phrf1
1045,Thbd
1046,Rfx3
1047,Abat
1048,Zfyve28
1049,Myt1l
1050,Dcp1b
1051,Atp2b2
1052,Por
1053,2310044G17Rik
1054,Rpl39
1055,Phc2
1056,Imp3
1057,Gabpa
1058,Msantd2
1059,Snrpc
1060,Eif1ax
1061,Acsl4
1062,Aip
1063,Map2k1
1064,Tpt1
1065,Eif3m
1066,Grhl1
1067,Las1l
1068,Igfbp2
1069,Myl12b
1070,Hmgb3
1071,Mybbp1a
1072,Caly
1073,Tmem106b
1074,Mdh1
1075,Tiam2
1076,Camk2n1
1077,Mex3a
1078,Ccdc173
1079,Ube2f
1080,Mllt3
1081,Tubb2b
1082,Pfn2
1083,Ccdc177
1084,Scyl1
1085,Cct3
1086,Jph4
1087,Cenpb
1088,Ppp2r3d
1089,Naa50
1090,Rfng
1091,Rps21
1092,Cdh20
1093,Lztfl1
1094,1110008J03Rik
1095,Snx22
1096,Hes6
1097,Mapk8ip1
1098,Usp14
1099,Fbxo44
1100,Tubb3
1101,Hist1h2be
1102,Cdc123
1103,Ak1
1104,Ddb1
1105,Taok1
1106,Ldoc1l
1107,Rasgef1a
1108,Ext2
1109,Sez6
1110,Asb13
1111,Tomm22
1112,Prkca
1113,Spast
1114,Sh2b1
1115,Cdk17
1116,Gm10012
1117,Qk
1118,Tab2
1119,Ddx24
1120,Zmynd11
1121,Luc7l
1122,Btbd10
1123,Gstp2
1124,Actn4
1125,Prpf19
1126,Zc3h7a
1127,Grin2b
1128,Tm2d2
1129,Prkaa1
1130,Chd6
1131,Atp6v1g2
1132,Zfp788
1133,Ncl
1134,Efr3b
1135,Coro2b
1136,Oxr1
1137,Atp6ap2
1138,Nrxn1
1139,Kdm6a
1140,Adipor2
1141,Tmem191c
1142,Akap8l
1143,Dhx34
1144,Nedd4
1145,Arl6ip1
1146,Prune2
1147,Tram1
1148,Glmn
1149,Gdap1l1
1150,Manea
1151,Csnk1g2
1152,Ptp4a1
1153,Sf3b1
1154,Efemp1
1155,Smpd4
1156,Gsk3b
1157,Celf1
1158,Egln1
1159,Drosha
1160,Spcs2
1161,Lonp1
1162,Ogfod1
1163,Ntsr2
1164,Crtc3
1165,Zfp580
1166,Rbbp6
1167,1110004E09Rik
1168,Ccdc167
1169,Hmgn2
1170,Rap1b
1171,Ap2a2
1172,A630007B06Rik
1173,Zfp60
1174,Med24
1175,Sycp3
1176,Mrpl49
1177,Bex2
1178,Tm9sf3
1179,Itsn1
1180,Hsd17b4
1181,Ctnnb1
1182,Dhx15
1183,Ppp4c
1184,Nars
1185,Egfl7
1186,Capza2
1187,Smarcd1
1188,H2afv
1189,Ncam2
1190,Cxxc1
1191,Psd3
1192,Srprb
1193,Lamtor5
1194,Grina
1195,Ntan1
1196,Wac
1197,St7l
1198,Ngfrap1
1199,Arglu1
1200,Cpne1
1201,Pop5
1202,Ctbp1
1203,Cplx1
1204,Cyb561d1
1205,Nin
1206,Pdrg1
1207,Hgsnat
1208,Ift27
1209,Slc6a9
1210,Nrip3
1211,Edem3
1212,Ccng1
1213,Atp1b3
1214,Cntln
1215,Arhgef17
1216,Rbck1
1217,Ube4b
1218,4931430N09Rik
1219,Dynll1
1220,Rnf13
1221,Rps11
1222,Bzrap1
1223,Ptprs
1224,Abca3
1225,Pcdh18
1226,Snd1
1227,Bach2
1228,Fbxo11
1229,Syt9
1230,Bod1
1231,Map3k4
1232,Stxbp3a
1233,Ywhaz
1234,Hivep1
1235,Scrib
1236,Zfyve20
1237,Pacsin2
1238,Sox10
1239,Atxn2
1240,Aldoc
1241,Ddx3x
1242,Psma2
1243,Pdcd7
1244,Mctp1
1245,Tomm40l
1246,Ntm
1247,Golim4
1248,Dagla
1249,Cxcl14
1250,Arpc2
1251,Chpt1
1252,Zfp157
1253,Phactr2
1254,St6galnac6
1255,Rsrc1
1256,Pfdn5
1257,Hist3h2ba
1258,Sipa1l3
1259,Trappc5
1260,Clk1
1261,Ugp2
1262,Dact3
1263,2900026A02Rik
1264,Icam5
1265,Gramd3
1266,Polr2c
1267,Med15
1268,Sap30
1269,Stx12
1270,Slc27a1
1271,Suds3
1272,Ube2n
1273,Tex261
1274,Omg
1275,Samd14
1276,Cacna1g
1277,Dpp10
1278,Pigyl
1279,Pcnp
1280,Sertad4
1281,Tapt1
1282,Hsp90b1
1283,Bin2
1284,Sp1
1285,Lrrn2
1286,Prpf4
1287,Zfp51
1288,Hbp1
1289,Taldo1
1290,Sec11a
1291,Cnrip1
1292,Pias2
1293,Capzb
1294,Brf1
1295,Ppp5c
1296,Tram1l1
1297,Kdm4b
1298,Rac1
1299,Lman1
1300,Dcaf6
1301,Psmd11
1302,Zfp629
1303,Tmem9
1304,Larp4
1305,Fryl
1306,Sco1
1307,Ccs
1308,Ppt1
1309,Tmem260
1310,Cdkal1
1311,Hcn2
1312,Phyhip
1313,Map3k12
1314,Mrrf
1315,Pip4k2c
1316,Dnajb4
1317,Klhdc2
1318,Atxn10
1319,Fkbp8
1320,Psmc3
1321,Nle1
1322,Ncoa4
1323,Col5a1
1324,Aldh3b1
1325,Klhl1
1326,Srp68
1327,Eef1g
1328,Fn1
1329,Fam134a
1330,Osbpl8
1331,Bai3
1332,Ift57
1333,Brd2
1334,Chmp7
1335,Rab3b
1336,Ube2v2
1337,Akirin1
1338,Ric8
1339,Ndufaf1
1340,Stxbp5
1341,Dym
1342,Ndel1
1343,Dstn
1344,Atg2b
1345,Glud1
1346,Foxj3
1347,Pik3ip1
1348,Tmem127
1349,Muc15
1350,Opa1
1351,Nus1
1352,Lims1
1353,Snrnp200
1354,R3hdm1
1355,Scaf11
1356,Tox3
1357,Prr7
1358,Tcf20
1359,Rnf139
1360,Alkbh5
1361,Paf1
1362,Gfpt1
1363,Tmed7
1364,Golgb1
1365,Grlf1
1366,Cep68
1367,2410015M20Rik
1368,Uap1
1369,Slc6a1
1370,Nptn
1371,Zfp512
1372,Mt1
1373,Cnot3
1374,Ccdc43
1375,Eps15
1376,Copz1
1377,Cep164
1378,Llgl1
1379,Sart3
1380,Sfxn3
1381,Samhd1
1382,Rgs7
1383,Pcdh10
1384,Aebp2
1385,Dars
1386,Rere
1387,Ppp1cb
1388,Akap9
1389,Epha4
1390,Ywhab
1391,Drg2
1392,Ubxn1
1393,Rpn1
1394,Dr1
1395,Slc4a8
1396,Map1lc3b
1397,Cyp2s1
1398,Gria3
1399,Wnk2
1400,Sox18
1401,Dgcr8
1402,Cox8a
1403,Sept8
1404,Mgrn1
1405,Ubald1
1406,Fam114a2
1407,Dido1
1408,Htt
1409,Edf1
1410,Dhx30
1411,Rabl6
1412,Zc3h15
1413,Aldh7a1
1414,Pde4dip
1415,Spryd7
1416,Nudt1
1417,Prkcz
1418,Pan3
1419,Zrsr2
1420,Kdelr2
1421,Rapgef2
1422,Mbtps2
1423,Mmab
1424,Cdc37l1
1425,Srp9
1426,Nhsl1
1427,Pcyt1b
1428,Timm10
1429,Fndc1
1430,Atp1a1
1431,Pus10
1432,Bend7
1433,Vcp
1434,Erc2
1435,Zfp3
1436,Kdm5b
1437,Prrc2b
1438,Cep170b
1439,Pgrmc2
1440,Casc3
1441,Mtif3
1442,Rbm17
1443,Zdhhc3
1444,Kat7
1445,Mtpap
1446,Mtx3
1447,Pcsk1n
1448,Otud6b
1449,Rpl9
1450,Mrps14
1451,Sp9
1452,Dctn3
1453,Ccdc59
1454,Cnst
1455,Sympk
1456,Rpl18
1457,Ppp3r1
1458,Lage3
1459,Slc25a4
1460,Sec31a
1461,8430429K09Rik
1462,Apmap
1463,Pknox1
1464,Ilk
1465,Ndufa3
1466,Terf2ip
1467,Apod
1468,Atrnl1
1469,Npas2
1470,Eif3e
1471,Clasp2
1472,Gorab
1473,Sdr39u1
1474,Agap3
1475,Srsf3
1476,Eral1
1477,Hmgcs1
1478,Fbxo33
1479,Slc25a46
1480,H1fx
1481,D19Bwg1357e
1482,Zfr
1483,Trip12
1484,Scrn2
1485,Spry2
1486,Hexim1
1487,Adprh
1488,Cep128
1489,Rufy1
1490,Prkar1a
1491,Gpsm1
1492,Sugp2
1493,Pabpn1
1494,Blcap
1495,Tbrg1
1496,Ano6
1497,Szt2
1498,BC030336
1499,Styx
1500,Rusc1
1501,Mvk
1502,Golga7
1503,Commd8
1504,Arih1
1505,Smarca5-ps
1506,Rbm33
1507,Nefl
1508,Senp5
1509,Rspo3
1510,Tspyl4
1511,Sp8
1512,Ten1
1513,Sec14l1
1514,Hist1h2bk
1515,Pelo
1516,Celsr3
1517,Hdac2
1518,Npat
1519,Traf3
1520,Sema3a
1521,Id3
1522,Pfkp
1523,Catsperd
1524,Fbxl2
1525,3110040N11Rik
1526,LOC106740
1527,Fasn
1528,Mgat4a
1529,Rnf214
1530,Whrn
1531,Rptor
1532,Cx3cl1
1533,Ino80d
1534,G2e3
1535,Trafd1
1536,Txnl1
1537,Plekhh2
1538,Acad8
1539,Mrps6
1540,B9d1
1541,Rprd2
1542,Pde4d
1543,Wbp5
1544,Ndufb6
1545,Tlk1
1546,Emc4
1547,Atg10
1548,Hars
1549,Sh3glb2
1550,Tmem88
1551,Cog7
1552,Ndufs1
1553,Commd10
1554,Psmd8
1555,Invs
1556,Nsg1
1557,Epb4.9
1558,Chst11
1559,Pds5b
1560,Dcaf11
1561,Ctnna2
1562,Kcnh2
1563,Bpgm
1564,Wipf3
1565,Fam120b
1566,Dctn5
1567,Cgrrf1
1568,Vta1
1569,Ubr2
1570,Syne1
1571,Psmb6
1572,Trim36
1573,Nudc
1574,Ncapd2
1575,Akap1
1576,Scn2a1
1577,Dkc1
1578,Dda1
1579,Rps4x
1580,Nat9
1581,Desi1
1582,Aprt
1583,Nmt2
1584,Krcc1
1585,Ppfia4
1586,D17Wsu92e
1587,Poldip3
1588,Xpo7
1589,Zfand5
1590,Tbk1
1591,Gm996
1592,Gna11
1593,Ctps
1594,Amz2
1595,Cnksr2
1596,Fgf1
1597,Pex6
1598,Rasl11b
1599,Cldn25
1600,Ncdn
1601,Aimp1
1602,Crlf2
1603,Twf1
1604,Ccdc137
1605,Eef1b2
1606,Crip1
1607,Snrk
1608,Sall3
1609,Arnt2
1610,Nab2
1611,Slc2a3
1612,Rangap1
1613,Irs1
1614,Bzw2
1615,Kif1c
1616,Tuba1b
1617,Dusp7
1618,Vps4a
1619,Igfbp5
1620,Nup153
1621,Pwwp2a
1622,Cgnl1
1623,Eef2k
1624,Arx
1625,Ypel5
1626,Vps28
1627,Actl6b
1628,Dlg2
1629,Kcnq5
1630,Dio2
1631,Nat14
1632,3110001D03Rik
1633,Cops4
1634,Gstt1
1635,Rab15
1636,Atp6v1d
1637,Coro1a
1638,Msantd3
1639,Penk
1640,Mettl17
1641,Ncor1
1642,Slc9a9
1643,Tfg
1644,Asph
1645,Atp5g2
1646,Rpl10
