,X,Y
17x19,4624.088,5218.899
2x19,276.004,5221.679
3x19,560.581,5223.532
9x20,2323.5170000000007,5499.59
10x20,2574.461,5500.3409999999985
16x20,4326.4209999999985,5506.053000000001
18x20,4921.643,5504.536999999998
8x20,1997.397,5506.57
5x20,1136.151,5507.549
11x20,2875.208,5508.892
19x20,5210.527,5509.599
7x20,1713.91,5509.39
12x20,3208.338,5511.571
6x20,1405.779,5509.478
17x20,4620.612,5509.625
2x20,270.47,5511.1
13x20,3490.136,5513.187
15x20,4053.729,5512.361999999999
3x20,549.6659999999998,5516.357
14x20,3761.373,5516.885
4x20,858.3810000000002,5529.219
11x21,2883.651,5786.643
10x21,2579.856,5788.843000000002
8x21,2006.128,5790.8319999999985
9x21,2310.897,5792.227
3x21,552.8290000000002,5798.729
14x21,3762.724,5797.213000000002
5x21,1131.108,5796.792
13x21,3480.0170000000007,5799.821999999999
15x21,4054.016,5797.897
16x21,4332.764,5796.876
4x21,846.041,5799.551
7x21,1709.0739999999996,5801.741999999998
17x21,4621.348,5801.941999999999
12x21,3201.2140000000004,5804.365
6x21,1410.021,5807.076999999998
11x22,2885.508,6081.177
5x22,1135.923,6076.0819999999985
4x22,846.2189999999998,6084.621
10x22,2580.66,6084.735
9x22,2312.598,6085.245
7x22,1712.379,6086.425
8x22,1998.518,6084.55
3x22,557.679,6090.807
12x22,3199.369,6091.603
6x22,1413.005,6090.1219999999985
14x22,3763.031,6091.81
15x22,4056.506,6094.794
13x22,3481.864,6094.859
5x23,1137.17,6360.23
11x23,2875.409,6378.033
10x23,2576.463,6373.709
12x23,3205.637,6379.288000000001
8x23,2008.155,6382.715
15x23,4051.567,6377.2530000000015
14x23,3762.516,6380.66
7x23,1707.45,6380.9940000000015
6x23,1418.779,6380.276
9x23,2312.08,6382.694
13x23,3485.465,6385.13
11x24,2879.888,6663.82
10x24,2580.262,6664.223000000001
9x24,2302.943,6667.018
12x24,3208.684,6676.115
8x24,2008.457,6671.1280000000015
7x24,1704.865,6674.026
6x24,1440.2120000000002,6682.252
13x24,3477.161,6681.563
8x25,2013.848,6941.213000000002
9x25,2312.044,6958.057
10x25,2573.206,6958.182
11x25,2871.04,6960.7559999999985
6x25,1435.69,6974.422
7x25,1715.125,6976.276
6x26,1410.869,7220.132
9x26,2320.04,7249.66
8x26,2007.885,7254.641
7x26,1716.821,7256.2040000000015
8x27,2013.621,7540.37
7x27,1718.47,7546.201
